train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,train/ent_coef_loss,time/episodes,train/n_updates,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate
0.0024787711445242167,-7.263143680000001,6523,3,0.008440489880740643,-1.8525673151016235,320,22971,0.09191714972257614,23072,61.23,0.0003
0.0024326988495886326,-7.16893369,6553,3,0.007278899196535349,-1.7186384201049805,324,23147,0.14333122968673706,23248,61.24,0.0003
0.002383425598964095,-6.819077139999999,6585,3,0.011291821487247944,1.2125718593597412,328,23333,0.30191299319267273,23434,59.1,0.0003
0.0023448332212865353,-6.6562954,6610,3,0.004612303338944912,-1.5192309617996216,332,23484,0.31936848163604736,23585,58.06,0.0003
0.002315770834684372,-6.408720549999999,6639,3,0.0063403211534023285,-1.4656352996826172,336,23655,0.35595327615737915,23756,56.57,0.0003
0.0022898740135133266,-6.113233709999999,6663,3,0.0075166188180446625,-0.4650248885154724,340,23795,0.42076581716537476,23896,54.68,0.0003
0.0022662782575935125,-5.74750037,6687,3,0.011000322178006172,-0.6379004120826721,344,23930,0.5382021069526672,24031,52.16,0.0003
0.0022354088723659515,-5.636729630000001,6714,3,0.011314239352941513,-0.13084210455417633,348,24087,0.6435711979866028,24188,51.69,0.0003
0.0022136205807328224,-5.34027626,6742,3,0.007172431796789169,-0.04250144958496094,352,24248,0.6094866991043091,24349,49.78,0.0003
0.002226156648248434,-5.28278856,6768,3,0.006623285822570324,-0.44285356998443604,356,24402,0.7253894805908203,24503,49.69,0.0003
0.0021906194742769003,-5.24705261,6807,3,0.007314619142562151,-2.0936989784240723,360,24634,0.7691605091094971,24735,49.18,0.0003
0.002168585080653429,-5.02699703,6832,3,0.0099339559674263,0.6877552270889282,364,24781,0.8396378755569458,24882,47.32,0.0003
0.0021698190830647945,-4.882067149999999,6860,3,0.008801944553852081,-0.708480179309845,368,24942,0.8928749561309814,25043,46.6,0.0003
0.00217611575499177,-4.66932841,6885,3,0.012387977913022041,1.3838224411010742,372,25085,0.956472635269165,25186,45.1,0.0003
0.002190918195992708,-4.45365227,6908,3,0.007339524570852518,0.3537605106830597,376,25212,0.9794267416000366,25313,43.31,0.0003
0.0021899656858295202,-4.411224299999999,6944,3,0.01465352438390255,0.16551119089126587,380,25406,1.0300543308258057,25507,43.06,0.0003
0.0021784217096865177,-4.34049551,6973,3,0.007632764056324959,-0.1499754935503006,384,25580,1.1127153635025024,25681,42.71,0.0003
0.002194775501266122,-4.21634073,7004,3,0.009459399618208408,-0.9294934272766113,388,25749,1.1375062465667725,25850,42.05,0.0003
0.002208204008638859,-4.16748547,7037,3,0.014840442687273026,0.6542832851409912,392,25946,1.2393971681594849,26047,41.93,0.0003
0.0022356060799211264,-4.012576849999999,7068,3,0.008348634466528893,-2.0131900310516357,396,26120,1.298505187034607,26221,41.11,0.0003
0.0022330309730023146,-3.9117554199999995,7098,3,0.057833828032016754,0.1938210129737854,400,26285,1.3330174684524536,26386,40.85,0.0003
0.002252792241051793,-3.8216898100000005,7128,3,0.025249026715755463,0.2565751075744629,404,26441,1.270691990852356,26542,40.44,0.0003
0.0022978829219937325,-3.8952209299999994,7159,3,0.016578450798988342,-1.3363580703735352,408,26617,1.3433802127838135,26718,41.01,0.0003
0.002320894505828619,-3.9543361299999993,7193,3,0.01757071167230606,0.935456395149231,412,26813,1.4231491088867188,26914,41.32,0.0003
0.002373463474214077,-3.9046536099999996,7222,3,0.020344888791441917,-1.761298656463623,416,26970,1.4446136951446533,27071,41.07,0.0003
0.0023990969639271498,-3.9105577300000003,7245,3,0.018323145806789398,1.294677734375,420,27091,1.493340015411377,27192,41.2,0.0003
0.0023981649428606033,-3.898093279999999,7274,3,0.020457632839679718,-0.955662727355957,424,27260,1.5834550857543945,27361,41.13,0.0003
0.0024758416693657637,-3.8807688799999998,7306,3,0.02181016281247139,-0.06243617832660675,428,27445,1.5785276889801025,27546,41.12,0.0003
0.002548663644120097,-3.95103914,7343,3,0.02163093350827694,0.24820704758167267,432,27668,1.5808336734771729,27769,41.84,0.0003
0.0026029350701719522,-4.00294554,7377,3,0.008177775889635086,-0.6294600963592529,436,27866,1.5886036157608032,27967,42.11,0.0003
0.00267369719222188,-4.047159319999999,7408,3,0.016709130257368088,0.07741515338420868,440,28042,1.629993200302124,28143,42.47,0.0003
0.0027005174197256565,-4.12635393,7443,3,0.016413651406764984,-0.9910822510719299,444,28246,1.718475103378296,28347,43.16,0.0003
0.002711045555770397,-4.083279460000001,7466,3,0.02406313456594944,-0.12197554111480713,448,28371,1.8221569061279297,28472,42.84,0.0003
0.0027234049048274755,-4.07401022,7494,3,0.012656046077609062,-0.3755301833152771,452,28532,1.7780249118804932,28633,42.84,0.0003
0.0027587469667196274,-4.06882876,7518,3,0.02068684808909893,-0.9962515830993652,456,28658,1.7939995527267456,28759,42.56,0.0003
0.0027979358565062284,-3.97177662,7544,3,0.020881343632936478,1.6294727325439453,460,28810,1.8643815517425537,28911,41.76,0.0003
0.002822119975462556,-4.00614009,7574,3,0.014476785436272621,0.7435988187789917,464,28980,1.875693917274475,29081,41.99,0.0003
0.002851217519491911,-3.94081222,7596,3,0.013458076864480972,0.32323509454727173,468,29103,1.8992384672164917,29204,41.61,0.0003
0.002886482048779726,-4.0767102600000005,7636,3,0.03310579061508179,-0.36528700590133667,472,29336,1.8605636358261108,29437,42.51,0.0003
0.0028439476154744625,-4.0850111600000005,7664,3,0.03346376493573189,0.37266695499420166,476,29494,2.0110888481140137,29595,42.82,0.0003
0.00290654762648046,-4.080344019999999,7701,3,0.032484665513038635,-0.43605589866638184,480,29706,1.9135264158248901,29807,43.0,0.0003
0.0029786385130137205,-4.05230504,7731,3,0.036058925092220306,1.1008740663528442,484,29879,1.9909383058547974,29980,42.99,0.0003
0.002989426953718066,-4.0570600500000005,7761,3,0.02924865111708641,0.8087549805641174,488,30050,1.993897557258606,30151,43.01,0.0003
0.003003552323207259,-3.9816169199999996,7789,3,0.01770676299929619,0.6507760286331177,492,30211,1.996474027633667,30312,42.65,0.0003
0.00303793721832335,-3.9267788600000006,7811,3,0.042925797402858734,0.9520893692970276,496,30333,2.0205044746398926,30434,42.13,0.0003
0.0030799065716564655,-3.87594029,7834,3,0.024000849574804306,-0.23722657561302185,500,30461,2.044888973236084,30562,41.76,0.0003
0.0030587187502533197,-3.838930079999999,7859,3,0.011639822274446487,0.5428763628005981,504,30598,2.027635097503662,30699,41.57,0.0003
0.003137559862807393,-3.8000890599999995,7889,3,0.03909926488995552,1.0766618251800537,508,30776,2.144883155822754,30877,41.59,0.0003
0.0031804884783923626,-3.7333026899999995,7911,3,0.027485907077789307,1.9297690391540527,512,30900,2.113013982772827,31001,40.87,0.0003
0.0032111303880810738,-3.7913125599999997,7948,3,0.05643041804432869,0.9378530979156494,516,31119,2.058426856994629,31220,41.49,0.0003
0.0032072190660983324,-3.8185373499999997,7974,3,0.052956707775592804,1.6159944534301758,520,31271,2.1348352432250977,31372,41.8,0.0003
