train/n_updates,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss
34537,23903,-27.729232750000005,34638,348,-0.0029409490525722504,0.0003,1,0.033204324543476105,0.0031470160465687513,98.85,-3.3900113105773926
34872,23962,-27.221516629999996,34973,352,-3.1041064262390137,0.0003,1,0.028360258787870407,0.0030952743254601955,98.2,-2.9665415287017822
35234,24024,-27.07606258,35335,356,0.09834682941436768,0.0003,1,0.05500999093055725,0.0031012443359941244,98.5,-2.547651767730713
35634,24092,-26.578412530000005,35735,360,0.4185033440589905,0.0003,1,0.033678729087114334,0.003080229740589857,98.5,-1.9905372858047485
36032,24160,-26.099534249999998,36133,364,0.6060440540313721,0.0003,1,0.035118646919727325,0.0031318708788603544,98.48,-1.5937877893447876
36432,24226,-25.56291115,36533,368,3.34651780128479,0.0003,1,0.0315488800406456,0.0030537755228579044,98.48,-1.0583646297454834
36832,24290,-25.37077183,36933,372,3.1431353092193604,0.0003,1,0.03952378034591675,0.0030996135901659727,98.48,-0.766852855682373
37232,24356,-24.993336609999997,37333,376,-0.6945449113845825,0.0003,1,0.04270615428686142,0.0030787670984864235,98.48,-0.3792644739151001
37632,24423,-24.502253520000004,37733,380,-0.48610055446624756,0.0003,1,0.035514626652002335,0.0030999756418168545,98.48,-0.23045779764652252
37969,24480,-23.573661709999996,38070,384,-1.2373547554016113,0.0003,1,0.04547867923974991,0.0030483619775623083,97.85,0.12623266875743866
38369,24547,-23.119761599999997,38470,388,-1.2861287593841553,0.0003,1,0.0308697409927845,0.0029711544048041105,97.85,0.5634811520576477
38769,24612,-22.66328638,38870,392,0.29685401916503906,0.0003,1,0.055914320051670074,0.0029695043340325356,97.85,0.9034126400947571
39169,24677,-22.067822220000007,39270,396,2.955907106399536,0.0003,1,0.036283496767282486,0.002890900941565633,97.85,1.42861807346344
39539,24737,-21.66276934,39640,400,-2.0324511528015137,0.0003,1,0.04647011309862137,0.002886483445763588,97.55,1.7446794509887695
39939,24801,-21.16733424,40040,404,0.1577875018119812,0.0003,1,0.046696387231349945,0.0028671538457274437,97.55,1.8586243391036987
40339,25037,-21.013086389999998,40440,408,0.2729645073413849,0.0003,1,0.0376552939414978,0.0028733140788972378,98.02,2.492537498474121
40739,25441,-20.56178049,40840,412,1.5661888122558594,0.0003,1,0.030331308022141457,0.0028759087435901165,98.02,2.633998155593872
41139,25844,-20.04376818,41240,416,-1.0552273988723755,0.0003,1,0.034158773720264435,0.0029422312509268522,98.02,2.6802425384521484
41539,26248,-19.80456649,41640,420,0.8480152487754822,0.0003,1,0.03728516772389412,0.0029197370167821646,98.02,3.182976484298706
41939,26654,-19.52602048,42040,424,-0.7783808708190918,0.0003,1,0.04138860106468201,0.002900191582739353,98.02,3.3470146656036377
42339,27059,-19.236038300000004,42440,428,2.558292865753174,0.0003,1,0.03892776370048523,0.002904204884544015,98.02,3.654114246368408
42676,27400,-18.704019410000004,42777,432,0.9082585573196411,0.0003,1,0.03416521102190018,0.0028893572743982077,97.39,3.712326765060425
43076,27803,-18.334620930000003,43177,436,0.4148450493812561,0.0003,1,0.04136638715863228,0.002892669988796115,97.39,4.048214435577393
43423,28155,-17.82108132,43524,440,0.3018260598182678,0.0003,1,0.0320386104285717,0.0029035555198788643,96.86,4.348287582397461
43777,28513,-17.36816208,43878,444,2.378466844558716,0.0003,1,0.05315494164824486,0.0028599374927580357,96.4,4.591519832611084
44177,28917,-16.96476552,44278,448,-4.922344207763672,0.0003,1,0.034534841775894165,0.0028536957688629627,96.4,4.655406951904297
44577,29321,-16.80536211,44678,452,0.6375733017921448,0.0003,1,0.09191163629293442,0.002849226351827383,97.05,4.888283729553223
44977,29724,-16.533879660000004,45078,456,-0.9588875770568848,0.0003,1,0.04786353558301926,0.0028142048977315426,97.43,5.264706134796143
45377,30129,-16.42713148,45478,460,-0.43515563011169434,0.0003,1,0.03734086826443672,0.0028398362919688225,97.43,5.22672700881958
45668,30425,-16.07251466,45769,464,-3.8705196380615234,0.0003,1,0.02824651263654232,0.002880551852285862,96.36,5.378910064697266
46057,30818,-15.927399970000002,46158,468,-0.3841177821159363,0.0003,1,0.035905756056308746,0.00288707809522748,96.25,5.663696765899658
46457,31223,-15.749810650000002,46558,472,1.3797311782836914,0.0003,1,0.037603482604026794,0.0028105948586016893,96.25,5.905196666717529
46797,31566,-15.484015119999999,46898,476,-2.1961543560028076,0.0003,1,0.04187104478478432,0.0028496612794697285,95.65,5.909456729888916
47178,31951,-15.330271650000002,47279,480,1.018661379814148,0.0003,1,0.030776556581258774,0.0028321079444140196,95.46,6.106662273406982
