rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/n_updates,time/fps,train/critic_loss,time/total_timesteps,time/episodes
94.7,11479,1.4321643114089966,-3.196470022201538,-21.333316059999998,0.0003,0.005161211360245943,114983,1,0.03164549544453621,15185,164
94.1,11909,1.7134287357330322,-1.2599518299102783,-20.843672889999997,0.0003,0.005163929425179958,115323,1,0.026644032448530197,15525,168
93.16,12296,1.7615792751312256,0.9363479018211365,-20.361375050000003,0.0003,0.005109670106321573,115629,1,0.02663373202085495,15831,172
92.57,12659,1.931610345840454,0.87386155128479,-20.128543569999998,0.0003,0.005145379342138767,115914,1,0.03650993853807449,16116,176
92.57,13163,1.9976472854614258,-0.5571762323379517,-19.96961729,0.0003,0.005057531874626875,116314,1,0.032802507281303406,16516,180
92.69,13589,2.1288845539093018,-1.6512908935546875,-19.76340442,0.0003,0.004973773378878832,116651,1,0.025532875210046768,16853,184
92.11,13972,2.3688137531280518,0.8097169399261475,-19.543910419999996,0.0003,0.004959509242326021,116953,1,0.024259760975837708,17155,188
91.74,14431,2.550393581390381,0.13169093430042267,-19.06473031,0.0003,0.004867203067988157,117316,1,0.0284371767193079,17518,192
92.31,14935,2.6338071823120117,-3.1253395080566406,-19.008944839999998,0.0003,0.004710087087005377,117716,1,0.029201867058873177,17918,196
91.78,15302,2.646352767944336,1.0805017948150635,-18.672054130000003,0.0003,0.004580110777169466,118049,1,0.024477310478687286,18251,200
91.3,15658,2.778721332550049,0.2063719779253006,-18.38566272,0.0003,0.004443021956831217,118401,1,0.03437649458646774,18603,204
91.3,16061,2.9343533515930176,-2.1854007244110107,-18.17900116,0.0003,0.004300716333091259,118801,1,0.020601412281394005,19003,208
91.3,16465,3.0757248401641846,-0.47982263565063477,-18.020813009999998,0.0003,0.0041994680650532246,119201,1,0.028284862637519836,19403,212
91.17,16804,3.1588733196258545,0.3509840965270996,-17.99537372,0.0003,0.004106483422219753,119535,1,0.02795785665512085,19737,216
91.17,17209,3.096513032913208,-4.388360977172852,-17.752175150000003,0.0003,0.004077650140970945,119935,1,0.022781463339924812,20137,220
91.16,17611,3.384052276611328,-1.7577779293060303,-17.57042713,0.0003,0.00407067546620965,120334,1,0.028860807418823242,20536,224
90.94,17952,3.525712490081787,0.7901461124420166,-17.446994120000003,0.0003,0.004049571231007576,120671,1,0.03304578363895416,20873,228
90.48,18310,3.791656970977783,3.009866714477539,-16.901465870000003,0.0003,0.004058066755533218,121025,1,0.030420171096920967,21227,232
89.24,18566,3.8559794425964355,3.6196327209472656,-16.418138900000002,0.0003,0.004099389538168907,121277,1,0.028098195791244507,21479,236
89.05,18950,3.6909520626068115,-1.5740764141082764,-16.31122104,0.0003,0.004104828927665949,121658,1,0.036057353019714355,21860,240
88.08,19233,3.674435615539551,-1.2520232200622559,-15.758517099999999,0.0003,0.004023974295705557,121936,1,0.0343351736664772,22138,244
87.41,19570,3.8535361289978027,1.7159709930419922,-15.26533327,0.0003,0.004072661977261305,122269,1,0.03294248878955841,22471,248
87.55,19905,3.864151954650879,0.9497827291488647,-15.17195678,0.0003,0.004114853218197823,122601,1,0.031120501458644867,22803,252
