rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/learning_rate,time/episodes,train/actor_loss,train/ent_coef,time/fps,train/ent_coef_loss,time/time_elapsed,rollout/ep_len_mean,train/n_updates
-2.43644512,0.026015935465693474,69151,0.0003,1808,1.585214614868164,0.003948861267417669,1,0.5971961617469788,40728,19.67,69050
-2.36351953,0.04657068848609924,69191,0.0003,1812,1.6968554258346558,0.003970328718423843,1,-0.004510805010795593,40771,19.28,69090
-2.39018598,0.009384436532855034,69271,0.0003,1816,1.651104211807251,0.00396193191409111,1,0.01724514365196228,40855,19.15,69170
-2.4840499,0.039932169020175934,69340,0.0003,1820,1.7534278631210327,0.00397516880184412,1,1.8183865547180176,40927,19.57,69239
-2.4888054399999997,0.01306665688753128,69405,0.0003,1824,1.64340341091156,0.003987617325037718,1,0.8428705930709839,40996,19.73,69304
-2.48959544,0.027945250272750854,69477,0.0003,1828,1.7028335332870483,0.003970688674598932,1,-1.5417101383209229,41072,19.5,69376
-2.52810955,0.01788843423128128,69558,0.0003,1832,1.7948293685913086,0.003963154274970293,1,2.2364816665649414,41157,19.16,69457
-2.53734578,0.012663560919463634,69612,0.0003,1836,1.6861401796340942,0.0039979745633900166,1,-0.9531332850456238,41215,19.18,69511
-2.6069530700000003,0.02722344547510147,69720,0.0003,1840,1.6700488328933716,0.003998830448836088,1,-1.707524299621582,41327,19.3,69619
-2.61243621,0.025804691016674042,69820,0.0003,1844,1.6582802534103394,0.0040040817111730576,1,-0.9328234791755676,41430,19.75,69719
-2.6090163200000003,0.021654851734638214,69887,0.0003,1848,1.789351224899292,0.0039783320389688015,1,-0.5480188131332397,41501,19.58,69786
-2.6328634799999997,0.022494368255138397,69970,0.0003,1852,1.772700548171997,0.003982494119554758,1,0.0326077938079834,41587,19.73,69869
-2.6237125199999998,0.023648882284760475,70043,0.0003,1856,1.7754422426223755,0.00398138165473938,1,-0.9877698421478271,41663,19.5,69942
-2.6112279800000007,0.05866643786430359,70108,0.0003,1860,1.7247408628463745,0.0039564818143844604,1,0.5617589950561523,41730,19.56,70007
-2.6187001700000003,0.06087445467710495,70198,0.0003,1864,1.6701806783676147,0.003961979411542416,1,0.7520955204963684,41823,19.61,70097
-2.6155602900000003,0.027332469820976257,70269,0.0003,1868,1.5937151908874512,0.003973709885030985,1,-0.997802734375,41897,19.8,70168
-2.60692054,0.027190696448087692,70332,0.0003,1872,1.699168086051941,0.003966139629483223,1,-0.4340648651123047,41964,19.31,70231
-2.66302052,0.022812146693468094,70395,0.0003,1876,1.689192771911621,0.00397702120244503,1,-0.945620059967041,42030,19.51,70294
-2.6835202400000004,0.052306678146123886,70483,0.0003,1880,1.6892154216766357,0.003969993907958269,1,-0.8881716132164001,42121,19.87,70382
-2.5337433199999997,0.017494073137640953,70544,0.0003,1884,1.6463335752487183,0.003934847190976143,1,0.5843395590782166,42186,18.78,70443
