train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,time/fps,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,time/episodes
5.471174240112305,45934,0.038252804428339005,47288,47389,-0.1330372393131256,95.37,1,0.003240670310333371,0.0003,-17.658352190000002,480
6.162032127380371,46338,0.032864317297935486,47688,47789,2.391047954559326,95.37,1,0.0032364081125706434,0.0003,-17.37379186,484
6.054922103881836,46603,0.04877614974975586,48065,48166,1.8086556196212769,95.14,1,0.0032207544427365065,0.0003,-16.778595699999997,488
6.218744277954102,46675,0.04989638179540634,48465,48566,-2.1953063011169434,95.14,1,0.003225302090868354,0.0003,-16.548294329999997,492
6.436954498291016,46732,0.03393728658556938,48784,48885,-0.011747032403945923,94.33,1,0.0032036774791777134,0.0003,-15.980979849999999,496
6.486039638519287,46789,0.038028135895729065,49123,49224,1.3323580026626587,93.72,1,0.0030928989872336388,0.0003,-15.824975399999998,500
6.556546211242676,46849,0.031879011541604996,49455,49556,2.255145311355591,94.21,1,0.0031226761639118195,0.0003,-15.8583978,504
6.875236988067627,46909,0.03470946103334427,49787,49888,0.32412371039390564,93.53,1,0.0031101771164685488,0.0003,-15.580390970000002,508
6.9901227951049805,46975,0.031669147312641144,50187,50288,0.5586152076721191,93.67,1,0.003097158158197999,0.0003,-15.455442939999998,512
7.089764595031738,47022,0.042477987706661224,50461,50562,2.060297727584839,92.41,1,0.0031305912416428328,0.0003,-15.35171565,516
7.1501145362854,47084,0.03808751702308655,50833,50934,3.331761121749878,92.69,1,0.003138661151751876,0.0003,-15.377077629999997,520
7.457794666290283,47153,0.04418402910232544,51233,51334,0.8338357210159302,92.69,1,0.003086993470788002,0.0003,-15.399064569999997,524
7.524301052093506,47203,0.03240867704153061,51525,51626,1.320638656616211,91.61,1,0.0030625497456640005,0.0003,-15.116407950000001,528
