train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef_loss
0.49757030606269836,202.46029663085938,-118.10437583000001,23518,1432,12.19,1,21735,23417,0.0003,101.77542877197266,-0.16878870129585266
0.4937257170677185,211.38140869140625,-117.36954697000002,23570,1436,12.23,1,21791,23469,0.0003,108.6871337890625,-0.07283703237771988
0.4952547550201416,191.80624389648438,-119.60501486,23639,1440,12.57,1,21864,23538,0.0003,106.3471450805664,0.04327912628650665
0.4925327003002167,1095.551025390625,-120.08608230999998,23693,1444,12.64,1,21921,23592,0.0003,105.97362518310547,-0.11031574755907059
0.4925675392150879,1219.644287109375,-118.22636958,23725,1448,12.52,1,21957,23624,0.0003,113.15164184570312,-0.10923261195421219
0.4900188148021698,271.4261474609375,-118.45734269,23771,1452,12.48,1,22006,23670,0.0003,109.09345245361328,-0.00864926166832447
0.4920634925365448,1058.416748046875,-120.00096001000001,23829,1456,12.57,1,22067,23728,0.0003,103.09713745117188,-0.17811936140060425
0.49079445004463196,209.2046356201172,-122.03935387,23878,1460,12.74,1,22119,23777,0.0003,107.42045593261719,0.34309834241867065
0.4925437867641449,198.345458984375,-121.81826108,23916,1464,12.75,1,22161,23815,0.0003,107.02603912353516,0.11442738026380539
0.494483083486557,214.72634887695312,-121.16290823,23956,1468,12.63,1,22206,23855,0.0003,107.3133316040039,-0.11099463701248169
0.4929482638835907,309.52923583984375,-121.87831296,24003,1472,12.6,1,22255,23902,0.0003,105.07373046875,0.21535737812519073
0.4955662488937378,246.36219787597656,-121.33098053000003,24049,1476,12.64,1,22307,23948,0.0003,100.4593734741211,0.030490761622786522
0.4939456284046173,232.30538940429688,-120.04385291,24088,1480,12.55,1,22348,23987,0.0003,100.80353546142578,0.05772039294242859
0.49443188309669495,276.0428466796875,-119.28569425000002,24126,1484,12.51,1,22391,24025,0.0003,115.18684387207031,-0.05540025234222412
0.49366191029548645,259.6472473144531,-120.02009226,24163,1488,12.42,1,22432,24062,0.0003,103.30946350097656,0.08631031960248947
0.49245166778564453,196.1820068359375,-118.88796426,24200,1492,12.33,1,22470,24099,0.0003,95.45442199707031,-0.09225841611623764
0.48972541093826294,1132.3271484375,-122.12790948000001,24259,1496,12.63,1,22534,24158,0.0003,106.5108413696289,-0.14071589708328247
0.4854756295681,1151.22119140625,-122.16624572999999,24314,1500,12.67,1,22592,24213,0.0003,109.80892181396484,0.03243507444858551
0.4845166504383087,240.67626953125,-128.92464611,24436,1504,13.29,1,22718,24335,0.0003,103.1798095703125,0.09055435657501221
0.485204815864563,280.93829345703125,-130.76767674,24477,1508,13.33,1,22761,24376,0.0003,100.46784973144531,-0.003895677626132965
0.4818776249885559,247.75930786132812,-127.94111874000001,24525,1512,13.03,1,22813,24424,0.0003,102.28668975830078,-0.0466390922665596
0.47928282618522644,283.60211181640625,-126.20807780999999,24560,1516,12.77,1,22851,24459,0.0003,105.95574951171875,-0.05971856042742729
0.4787735342979431,210.84791564941406,-127.52778051000001,24595,1520,12.75,1,22888,24494,0.0003,111.02320861816406,0.09274004399776459
0.47695809602737427,265.049072265625,-124.99901191,24632,1524,12.62,1,22929,24531,0.0003,111.28986358642578,-0.07291744649410248
