Wall time,Step,Value
1744576771.289707,39821,-3.4333410263061523
1744576910.3771791,39956,-3.3580877780914307
1744577005.602651,40150,-3.494903087615967
1744577032.213776,40300,-3.455681324005127
1744577058.6501195,40451,-3.3058340549468994
1744577083.1809525,40592,-3.256214141845703
1744577105.7915404,40721,-3.0784900188446045
1744577129.9640267,40859,-3.1083803176879883
1744577151.8125436,40983,-3.0741560459136963
1744577179.410289,41143,-3.1313695907592773
1744577213.571138,41343,-3.2219550609588623
1744577238.704818,41487,-3.2225594520568848
1744577270.0929708,41673,-3.3243408203125
1744577296.2429936,41823,-3.335808277130127
1744577320.2083426,41961,-3.3165371417999268
1744577338.7021325,42061,-3.3519158363342285
1744577358.6619883,42171,-3.4016590118408203
1744577384.1146455,42319,-3.3902134895324707
1744577412.7913191,42484,-3.4446191787719727
1744577435.9679976,42616,-3.487483501434326
1744577463.6786046,42774,-3.507100820541382
1744577486.7282245,42905,-3.5501060485839844
1744577512.0286124,43048,-3.564448595046997
1744577592.36463,43139,-3.4893229007720947
1744577698.5958257,43241,-3.4907450675964355
1744577804.4193912,43344,-3.5020554065704346
1744577947.2946732,43483,-3.491046905517578
1744578085.2952638,43617,-3.371440887451172
1744578175.6557484,43704,-3.298525333404541
1744578282.344913,43808,-3.2876367568969727
1744578406.5734208,43929,-3.2666900157928467
1744578518.3274853,44037,-3.305123805999756
1744578658.3180408,44174,-3.2512729167938232
1744578790.530524,44302,-3.2562928199768066
1744578936.3821108,44444,-3.1591849327087402
1744579088.3355217,44592,-3.1317524909973145
1744579176.4021482,44677,-3.1424076557159424
1744579339.3211565,44836,-3.0667576789855957
1744579451.597197,44945,-3.0020456314086914
1744579580.4246073,45071,-3.0184969902038574
1744579686.3058717,45174,-2.993565320968628
1744579795.3319347,45280,-2.9306817054748535
1744579875.273728,45357,-2.8522167205810547
1744580013.3906593,45492,-2.8501834869384766
1744580123.3836222,45599,-2.8368451595306396
1744580227.3635254,45699,-2.812244415283203
1744580401.637229,45869,-2.827368974685669
1744580503.5705202,45967,-2.7638587951660156
1744580642.3080995,46103,-2.7785534858703613
1744580765.2821717,46222,-2.7976012229919434
1744580877.3108342,46330,-2.809894323348999
1744581026.3287477,46476,-2.823418140411377
1744581127.63183,46574,-2.8107101917266846
1744581238.2957377,46682,-2.8207874298095703
1744581410.0557742,46849,-2.865440845489502
1744581511.2729533,46947,-2.8639931678771973
1744581640.3204465,47072,-2.8481051921844482
1744581776.3374748,47204,-2.8939902782440186
1744581906.5520127,47331,-2.8992652893066406
1744582042.2915876,47464,-2.9009053707122803
1744582179.4345148,47597,-2.838698387145996
1744582303.468823,47717,-2.7839090824127197
1744582470.413364,47880,-2.779160261154175
1744582611.2998416,48018,-2.793583631515503
1744582773.4021597,48177,-2.7881598472595215
1744582931.38249,48331,-2.8356380462646484
1744583021.3351128,48417,-2.8328492641448975
1744583150.5232785,48542,-2.853156805038452
1744583363.311054,48751,-2.9524683952331543
1744583543.2649286,48929,-2.9900763034820557
1744583672.2548168,49054,-2.9625792503356934
1744583795.274209,49173,-2.91060733795166
1744583917.6409435,49291,-2.9502744674682617
1744584046.251434,49416,-3.0169320106506348
1744584228.3931603,49595,-3.0703980922698975
1744584363.317073,49727,-3.0551068782806396
1744584476.287495,49837,-3.0260815620422363
1744584585.40216,49942,-3.0173840522766113
1744584664.2985795,50017,-3.061774492263794
1744584816.390962,50165,-3.066631317138672
1744584910.3399508,50255,-3.0720131397247314
1744585072.235141,50413,-3.123058795928955
1744585204.3966024,50541,-3.1830594539642334
1744585371.653033,50706,-3.223818778991699
1744585490.2852404,50822,-3.249004602432251
1744585743.5448005,51071,-3.443451166152954
1744585897.658535,51221,-3.514798402786255
1744586044.332826,51364,-3.5183541774749756
1744586160.3532724,51477,-3.498903512954712
1744586266.3325903,51579,-3.4679148197174072
1744586341.5742722,51652,-3.3991050720214844
1744586438.585965,51744,-3.395979642868042
1744586539.3421924,51841,-3.421581983566284
1744586642.2962153,51941,-3.2916462421417236
1744586758.3255446,52054,-3.218689203262329
1744586910.3732772,52202,-3.2696545124053955
1744586995.5414302,52283,-3.272291421890259
1744587077.2888215,52361,-3.2591490745544434
1744587213.2619905,52494,-3.206742525100708
1744587350.2907274,52627,-3.1552062034606934
1744587439.3040607,52713,-3.1545403003692627
1744587539.2785819,52810,-3.1501026153564453
1744587638.2910914,52905,-3.146635055541992
1744587711.288616,52974,-3.0865442752838135
1744587888.2730224,53147,-3.1963729858398438
1744588042.3079774,53297,-3.2583515644073486
1744588128.3549979,53379,-3.201557159423828
1744588277.2997756,53524,-3.2069852352142334
1744588415.2842743,53658,-3.180551052093506
1744588589.3007245,53828,-3.219451427459717
1744588730.2324274,53965,-3.046938896179199
1744588949.2745261,54180,-3.2069010734558105
1744589057.3303554,54284,-3.1774208545684814
1744589268.279895,54492,-3.2943167686462402
1744589363.3277135,54583,-3.3133468627929688
1744589462.3501525,54679,-3.321345329284668
1744589539.2933204,54753,-3.3509809970855713
1744589626.328921,54837,-3.3185503482818604
1744589752.294029,54959,-3.3030078411102295
1744589835.3962314,55039,-3.297882556915283
1744589922.244255,55122,-3.255053758621216
1744590027.3467379,55224,-3.237077236175537
1744590125.2950594,55320,-3.2996461391448975
1744590203.571262,55395,-3.2500061988830566
1744590305.3320954,55492,-3.221278429031372
1744590449.3052657,55632,-3.2251462936401367
1744590541.5770502,55720,-3.2251555919647217
1744590631.4666882,55806,-3.279106378555298
1744590746.50959,55917,-3.313081741333008
1744590882.6163297,56049,-3.150120735168457
1744591020.32081,56183,-3.1172850131988525
1744591151.365745,56310,-3.177299976348877
1744591234.5757437,56392,-3.109926462173462
1744591316.439228,56471,-3.097567558288574
1744591386.6827166,56537,-3.031616687774658
1744591469.5439003,56617,-3.0118820667266846
1744591539.563877,56683,-2.7624549865722656
1744591674.347199,56816,-2.7887675762176514
1744591851.5921342,56989,-2.773075580596924
1744591923.3683467,57058,-2.7691378593444824
1744591997.6696756,57129,-2.7512500286102295
1744592063.4747143,57192,-2.716153860092163
1744592168.397132,57294,-2.7675726413726807
1744592238.2672417,57361,-2.7887322902679443
1744592328.353091,57448,-2.790841579437256
1744592400.5019627,57518,-2.7664082050323486
1744592535.6114452,57649,-2.7885522842407227
1744592610.3870301,57721,-2.7030341625213623
1744592739.7860842,57846,-2.7636351585388184
1744592876.3685033,57979,-2.8130712509155273
1744592933.3106668,58032,-2.8048365116119385
1744593040.332409,58136,-2.788343906402588
1744593156.466204,58248,-2.7568156719207764
1744593212.3833463,58301,-2.7336056232452393
1744593323.2859526,58409,-2.745729446411133
1744593459.3967385,58541,-2.748509168624878
1744593539.2581685,58618,-2.683213233947754
1744593644.2845232,58719,-2.6750404834747314
1744593714.5190368,58786,-2.6801798343658447
1744593820.3246744,58889,-2.6597204208374023
1744593912.320854,58977,-2.653477668762207
1744593996.2684958,59059,-2.641068458557129
1744594136.2812488,59195,-2.621490240097046
1744594227.283899,59284,-2.5254595279693604
1744594286.335885,59340,-2.4874160289764404
1744594394.46576,59444,-2.523094415664673
