time/fps,train/ent_coef,train/actor_loss,time/time_elapsed,time/total_timesteps,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,train/n_updates,rollout/ep_rew_mean
2,0.009840443730354309,-26.086626052856445,6102,17198,0.08819741010665894,-9.75790786743164,100.0,172,0.0003,17097,-31.54242593
2,0.009196297265589237,-25.61195945739746,6187,17598,0.07088028639554977,-2.9242160320281982,100.0,176,0.0003,17497,-31.280294079999997
2,0.008772594854235649,-24.979568481445312,6270,17998,0.08739733695983887,-1.2144112586975098,100.0,180,0.0003,17897,-31.031324189999996
2,0.00841217115521431,-24.084293365478516,6353,18398,0.09440826624631882,-0.49286967515945435,100.0,184,0.0003,18297,-30.720072939999994
2,0.008188343606889248,-23.502708435058594,6437,18798,0.09888055920600891,2.1425070762634277,100.0,188,0.0003,18697,-30.738727429999997
2,0.00807865709066391,-22.943321228027344,6886,19198,0.10150434076786041,-2.1132419109344482,100.0,192,0.0003,19097,-30.74829819
2,0.008075679652392864,-22.510011672973633,7391,19598,0.07475174963474274,-1.0609025955200195,100.0,196,0.0003,19497,-30.69479526
2,0.00809312704950571,-21.909730911254883,7843,19998,0.07732041925191879,0.13286703824996948,100.0,200,0.0003,19897,-30.748596310000003
2,0.008251986466348171,-21.468481063842773,8247,20398,0.08557899296283722,0.7861523032188416,100.0,204,0.0003,20297,-30.891974750000003
2,0.008312505669891834,-20.796276092529297,8652,20798,0.07349575310945511,-0.10226700454950333,100.0,208,0.0003,20697,-30.63140096
2,0.008151276037096977,-20.279586791992188,9055,21198,0.07274855673313141,2.785352945327759,100.0,212,0.0003,21097,-30.68342986
2,0.00792052410542965,-20.351688385009766,9459,21598,0.06400658935308456,1.7865891456604004,100.0,216,0.0003,21497,-30.614183029999996
2,0.007700718007981777,-19.147504806518555,9863,21998,0.07074087858200073,-1.6692023277282715,100.0,220,0.0003,21897,-30.672012419999998
2,0.007342734839767218,-18.485389709472656,10268,22398,0.07882638275623322,-3.5068483352661133,100.0,224,0.0003,22297,-30.55915963
2,0.00716116838157177,-18.069013595581055,10671,22798,0.06661425530910492,2.483938455581665,100.0,228,0.0003,22697,-30.65706975
2,0.007060779258608818,-17.37030029296875,11075,23198,0.0733271986246109,-0.5544110536575317,100.0,232,0.0003,23097,-30.551099119999993
2,0.00684728566557169,-17.04970932006836,11480,23598,0.05886823311448097,0.7108340263366699,100.0,236,0.0003,23497,-30.69554975
2,0.006771599408239126,-16.729549407958984,11884,23998,0.07508063316345215,1.656532645225525,100.0,240,0.0003,23897,-30.511417029999997
1,0.006382874213159084,-15.904064178466797,12288,24398,0.056187704205513,-0.9559841156005859,100.0,244,0.0003,24297,-30.238632609999996
1,0.0062675150111317635,-15.285231590270996,12692,24798,0.07872188091278076,-1.671987533569336,100.0,248,0.0003,24697,-30.097719369999997
1,0.006170181557536125,-14.647272109985352,13096,25198,0.05502232536673546,-3.533879041671753,100.0,252,0.0003,25097,-30.259459399999997
1,0.005959723610430956,-14.219223022460938,13498,25598,0.0628323182463646,0.6677175164222717,100.0,256,0.0003,25497,-29.86805069999999
1,0.005817851051688194,-13.474370002746582,13903,25998,0.052503593266010284,-0.402774840593338,100.0,260,0.0003,25897,-29.80044692
1,0.005636805668473244,-12.911853790283203,14306,26398,0.06154581904411316,1.857372760772705,100.0,264,0.0003,26297,-29.830760969999996
1,0.005408668424934149,-12.259010314941406,14710,26798,0.055016305297613144,-2.6031317710876465,100.0,268,0.0003,26697,-29.809388499999997
1,0.005525795742869377,-12.110077857971191,15114,27198,0.054682642221450806,-2.9598488807678223,100.0,272,0.0003,27097,-29.599160059999996
1,0.005618587601929903,-11.492538452148438,15519,27598,0.056451719254255295,-3.948184013366699,100.0,276,0.0003,27497,-29.582465689999996
1,0.005617317743599415,-10.867989540100098,15922,27998,0.05589067190885544,0.06982667744159698,100.0,280,0.0003,27897,-29.669235909999998
1,0.005586814600974321,-10.563333511352539,16311,28384,0.874447226524353,1.809349775314331,99.86,284,0.0003,28283,-29.555096589999994
